Id	Name	Apa	Year	Target_Task	Input_Type	Feature_Type	Model_Type	Loss_Strategy	Synth_Architecture	Differentiable	Parameter_Type	Parameter_Count	Dataset_Source	Dataset_Size	Param_MSE	Audio_Similarity	Generalization	Inference_Strategy	Inference_Time	Key_Limitation
1	InverSynth: Deep Estimation of Synthesizer Parameter Configurations from Audio Signals	Barkan, O., Tsiris, D., Katz, O., & Koenigstein, N. (2019). Inversynth: Deep estimation of synthesizer parameter configurations from audio signals. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 27(12), 2385-2396.	2019	Synthesizer parameter estimation / inverse synthesizer programming	Raw audio and log-STFT spectrogram	STFT spectrogram; raw waveform; BoW spectrogram baseline; handcrafted audio features	Strided CNN / 2D CNN / end-to-end CNN; FC baselines	Binary cross-entropy classification loss	Subtractive + FM synth: 4 FM oscillators, ADSR, low-pass filter, gater	No	Discrete/quantized parameters	23	JSyn-generated synthetic dataset	200,000	Not reported as Param_MSE; MAE reported instead	Best: STFT PCC mean 92.04, FT PCC mean 76.13, MOS 4.72–4.81	CNNs generalize well; no overfitting observed for InverSynth, but intra-domain only	Direct feed-forward parameter prediction from spectrogram/raw audio	Not reported	Cross-domain sound matching not handled; phase information lost; discrete parameter classes; dataset synthetic/intra-domain
2	INVERSYNTH II: SOUND MATCHING VIA SELF-SUPERVISED SYNTHESIZER-PROXY AND INFERENCE-TIME FINETUNING	Barkan, O., Shvartzman, S., Uzrad, N., Laufer, M., Elharar, A., & Koenigstein, N. (2023, November). Inversynth II: Sound Matching via Self-Supervised Synthesizer-Proxy and Inference-Time Finetuning. In ISMIR (pp. 642-648).	2023	Synthesizer sound matching / inverse synthesis (audio→parameter)	Raw audio; log-STFT spectrogram; mel-spectrogram	Log-magnitude STFT; mel-spectrogram; MFCC; spectral features	Strided CNN encoder + CNN-based differentiable synthesizer-proxy decoder	Hybrid loss: Cross-entropy + L2 (parameter loss) + MAE spectral audio loss (self-supervised)	Multiple synths: FM synth, Dexed (DX7), TAL-NoiseMaker proxy-based setup	Yes (via learned differentiable synthesizer-proxy)	Mixed (categorical + continuous)	9 (FM/TAL) to 144 (DX7)	Multiple datasets: FM (synthetic), DX7 (Dexed), TAL-NoiseMaker	FM: 180K; TAL: 180K; DX7: 30K	Reported as MAEparam (e.g., DX7 ≈ 9.56 best)	Strong: MOS up to 5.0; spectral MAE improvements; best across all metrics	Good cross-dataset generalization; focuses on perceptually important params	Inference-time finetuning (ITF) with gradient optimization per sample	High (iterative ITF per test sample)	Proxy mismatch vs real synth; inference-time cost; still dependent on proxy accuracy
3	Automatic programming of VST sound synthesizers using deep networks and other techniques	Yee-King, M. J., Fedden, L., & d'Inverno, M. (2018). Automatic programming of VST sound synthesizers using deep networks and other techniques. IEEE Transactions on Emerging Topics in Computational Intelligence, 2(2), 150-159.	2018	Synthesizer programming / sound matching (audio→parameter)	MFCC feature vectors extracted from audio	MFCC (13 coefficients × frames); spectral features	MLP; LSTM; Bidirectional LSTM + highway layers (LSTM++); also GA & Hill Climber	Baseline models: RMSE parameter loss; search methods: feature-space Euclidean distance (MFCC)	FM synthesizer (Dexed DX7 VST, 6-operator FM)	No	Continuous parameters (real-valued)	Up to 155 (varies 22–132 across test sets)	Synthetic Dexed-generated dataset	~60,000 training pairs per test set; 180 test samples (6×30)	Not explicitly reported	Moderate (best ≈25% close matches; MFCC distance based)	Limited (single-note, fixed pitch; no cross-domain generalization)	Direct prediction (NN) or iterative search (GA/HC)	NN: near real-time; GA/HC: very slow (hours)	Low matching accuracy; no differentiable synth; depends on MFCC; poor scalability for complex sounds
4	DDSP: Differentiable digital signal processing	Engel, J., Hantrakul, L., Gu, C., & Roberts, A. (2020). DDSP: Differentiable digital signal processing. arXiv preprint arXiv:2001.04643.	2020	Neural audio synthesis / differentiable DSP / timbre transfer	Audio waveform; F0; loudness; optional MFCC-derived latent z	F0, loudness, MFCC, log-mel spectrogram, multi-scale STFT	Harmonic-plus-noise DDSP autoencoder; supervised/unsupervised encoder-decoder	Multi-scale spectral loss: L1 spectrogram + log-spectrogram loss; optional perceptual CREPE loss	Harmonic additive synth + filtered noise synth + optional reverb	Yes	Continuous time-varying synthesis controls	~166 synthesis controls per frame: F0/loudness + 101 harmonics + 65 noise magnitudes	NSynth subset; solo violin recordings	NSynth: 70,379 examples; Solo violin: ~13 min	Not applicable / not reported	High-fidelity resynthesis; supervised DDSP F0 L1: 0.02, loudness L1: 0.07	Strong pitch/loudness disentanglement; can extrapolate pitch and transfer timbre	Direct autoencoder resynthesis through differentiable DSP modules	Real-time oriented; exact inference time not reported	Not designed for existing synth parameter recovery; monophonic focus; depends on F0/loudness extraction
5	Flow synthesizer: Universal audio synthesizer control with normalizing flows	Esling, P., Masuda, N., Bardet, A., Despres, R., & Chemla-Romeu-Santos, A. (2019). Flow synthesizer: Universal audio synthesizer control with normalizing flows. Applied Sciences, 10(1), 302.	2020	Universal synthesizer control / parameter inference / macro-control learning / audio-based preset exploration	Log-mel spectrogram; synthesizer parameter vectors; semantic tags	128-bin log Mel-spectrogram; latent audio space; semantic metadata tags	VAE / WAE / VAE + Normalizing Flows / regression flows / disentangling flows	MSE spectrogram reconstruction + MSE parameter inference + KL/MMD regularization + flow likelihood objectives	Commercial VST synth: U-He Diva	No direct differentiable synth; invertible latent-to-parameter mapping via normalizing flows	Continuous parameters	16 / 32 / 64 selected parameters	~11K Diva presets rendered with RenderMan	~11,000 preset/audio pairs	Best reported as normalized parameter MSE; e.g., 16-param WAE ≈0.159, 32-param WAE ≈0.147, 64-param WAE ≈0.167	Strong spectral similarity; best audio SC often Flowreg/WAE; e.g., 64-param Flowreg SC ≈4.794, out-of-domain 64-param WAE SC ≈0.999	Moderate; tested out-of-domain on other synths/vocal imitations but timbre can remain distant	Encode target audio to latent space, map latent to parameters via flow; also supports preset exploration and macro-control	<30 ms CPU parameter inference; training ~5 h on Titan Xp	Limited to selected continuous parameters; local timbre mismatch for out-of-domain audio; semantic controls not always interpretable; no true differentiable synth
6	Synthesizer Sound Matching with Differentiable DSP	Masuda, N., & Saito, D. (2021, November). Synthesizer Sound Matching with Differentiable DSP. In ISMIR (pp. 428-434).	2021	Synthesizer sound matching (audio→parameter) with end-to-end differentiable synthesis	Mel-spectrogram frames (from audio); in-domain synth audio; out-of-domain real-world audio	128-bin Mel-spectrogram; multi-scale STFT spectral features	Estimator NN (1D CNN + GRU + FC) + differentiable DSP synthesizer	Hybrid: L1 parameter loss (pretraining) + multi-scale spectral loss (fine-tuning, dominant)	Differentiable additive-subtractive synthesizer (2 oscillators + resonant LP filter)	Yes (fully differentiable DSP chain)	Continuous parameters (normalized [0,1])	~8–10 core parameters (oscillator amp/freq/mix + filter cutoff/resonance + dynamics)	Synthetic generated dataset + NSynth (real-world)	In-domain: 20K; Out-of-domain: 20K	Best (P-loss): ~0.065 L1 param loss (but worse audio match)	Best audio: Real model LSD ≈17.27, Multi-scale loss ≈3.90 (out-of-domain)	Strong improvement on out-of-domain via spectral loss + domain adaptation	End-to-end inference via trained NN + differentiable synth; no iterative search	Fast (single forward pass; real-time capable)	Still limited synth expressivity; struggles with complex timbres (e.g., FM); parameter–audio relation indirect; envelope/LFO modeling limited
7	DDX7: Differentiable FM synthesis of musical instrument sounds	Caspe, F., McPherson, A., & Sandler, M. (2022). DDX7: Differentiable FM synthesis of musical instrument sounds. arXiv preprint arXiv:2208.06169.	2022	Differentiable FM resynthesis / audio-controlled FM synthesis	Pitch and loudness sequences extracted from target audio	F0 via CREPE; A-weighted loudness; multi-scale STFT for loss	TCN decoder + differentiable FM synthesizer + learnable reverb	Multi-scale spectral reconstruction loss (L1 spectrogram + log-spectrogram)	Constrained DX7-style FM synth: 6 sinusoidal operators, fixed routing/frequency ratios, learned oscillator envelopes	Yes	Continuous time-varying envelope/output-level parameters	6 frame-wise oscillator output levels; fixed ratios/routing	URMP isolated instrument stems: flute, violin, trumpet	Not explicitly reported; 4s crops from URMP with 75/12.5/12.5 split	Not applicable / not reported	FAD reported; best DDX7: flute 2.731, violin 1.618, trumpet 3.326; HpN baseline often stronger except flute	Limited but promising; instrument-specific training, fixed FM patch per instrument	Direct causal TCN inference from pitch/loudness to FM envelopes	Real-time-oriented; exact latency not fully reported	Fixed FM configuration; requires pitch conditioning; MSS loss has pitch-gradient issues; less expressive than HpN baseline for some instruments
8	Improving semi-supervised differentiable synthesizer sound matching for practical applications	Masuda, N., & Saito, D. (2023). Improving semi-supervised differentiable synthesizer sound matching for practical applications. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 863-875.	2023	Semi-supervised differentiable synthesizer sound matching for practical applications	Mel-spectrogram from target audio; in-domain synth audio; out-of-domain NSynth audio	128-bin Mel-spectrogram; multi-scale spectral loss; LSD; MCD; loudness features	Estimator NN (1D CNN + GRU + FC) + differentiable synth; Conv2D baseline	Hybrid/semi-supervised: L1 parameter loss + multi-scale spectral loss; P-loss/Synth/Real/Mixed schedules	Additive-subtractive synth with 2 saw/square oscillators, resonant LP filter, ADSR envelopes, chorus, reverb	Yes	Continuous normalized parameters; static + dynamic/envelope/effect parameters	19 total parameters in full synth; variants with/without FX/envelopes/f0 conditioning	In-domain random synth data + out-of-domain NSynth	In-domain: 20K; out-of-domain: 20K	Best in-domain parameter loss: e.g., Raw P-loss 0.045; FX P-loss 0.098; FX-Env Mixed 0.189	Best out-of-domain audio varies; Real best often, e.g., Raw LSD 12.53/MCD 415.7; FX Real LSD 12.91; FX-Env Mixed improves chorus use	Strong out-of-domain improvement via domain adaptation; Real/Mixed outperform parameter-only training	End-to-end NN estimation through differentiable synth; semi-supervised training with in/out-domain alternation	Fast single forward pass; exact inference time not reported	Spectral loss struggles with oscillator frequency and chorus delay; envelope model restricts dynamics; unordered oscillators cause permutation issues
9	Perceptual–neural–physical sound matching	Han, H., Lostanlen, V., & Lagrange, M. (2023, June). Perceptual–neural–physical sound matching. In ICASSP 2023-2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 1-5). IEEE.	2023	Perceptual–Neural–Physical sound matching / physical-parameter estimation for percussion	Log-CQT coefficients from synthetic drum audio	JTFS; multi-scale spectral features; Riemannian metric from differentiable feature+synth Jacobian	EfficientNet-B0 encoder + differentiable physical-model decoder	PNP loss: damped quadratic approximation of spectral loss; compared with P-loss and MSS loss	Physical modeling synthesizer: PDE-based rectangular drum / vibrating plate via FTM	Yes	Continuous normalized physical parameters	5 parameters: log ω1, τ1, log p, log D, α	Synthetic dataset generated from differentiable physical drum model	100,000 samples; 80/10/10 split	Not directly reported; evaluated with JTFS distance and MSS	Known pitch: P-loss best JTFS ≈22.23; PNP ≈23.58. Unknown pitch: PNP best JTFS ≈61.21 and MSS ≈0.97	Not broadly evaluated; mainly synthetic drum-domain validation, but PNP improves perceptually weighted learning when pitch is unknown	Direct feed-forward parameter prediction with cached PNP metric; no iterative search	Inference fast; training PNP ≈49 min/epoch, P-loss ≈49–53 min/epoch, MSS ≈54–59 min/epoch; differentiable JTFS loss estimated >1 day/epoch	Requires differentiable physical model and precomputed Riemannian metric; PNP unstable without damping; limited to synthetic percussion/physical model setting
10	DiffMoog: a differentiable modular synthesizer for sound matching	Uzrad, N., Barkan, O., Elharar, A., Shvartzman, S., Laufer, M., Wolf, L., & Koenigstein, N. (2024). DiffMoog: a differentiable modular synthesizer for sound matching. arXiv preprint arXiv:2401.12570.	2024	Sound matching with modular differentiable synthesizer	Audio input; in-domain DiffMoog-generated data; out-of-domain NSynth	Log/mel-spectrogram; signal-chain intermediate spectrogram features; Wasserstein spectral variants	Encoder network with backbone such as ResNet/GRU + dynamic MLP heads + DiffMoog differentiable synth	Hybrid: parameter loss + signal-chain spectral loss; P-loss/Synth/Real training schedules	DiffMoog modular synth: oscillators, LFOs, filters, ADSR, FM/AM modulators, tremolo, custom signal chains	Yes	Continuous + categorical modular synth parameters	Chain-dependent; not fixed	Generated DiffMoog datasets + NSynth for out-of-domain experiments	Not clearly fixed/reported; depends on generated chain/dataset setup	Not reported	Reported mainly via LSD curves; Real schedule improves NSynth/out-of-domain LSD in simple chain	Promising but limited; simple chains work better, complex FM chains often fail to converge	Direct encoder prediction of parameters for a user-defined DiffMoog chain	Not reported	Complex chains and FM modulation are hard to optimize; frequency estimation via spectral loss remains unresolved; signal-chain loss alone failed systematically
